"id","composer","composition","movement","ensemble","source","transcriber","catalog_name","seconds","armony"
1727,"Schubert","Piano Quintet in A major","2. Andante","Piano Quintet","European Archive","http://tirolmusic.blogspot.com/","OP114",447,"A+"
1728,"Schubert","Piano Quintet in A major","3. Scherzo: Presto","Piano Quintet","European Archive","http://tirolmusic.blogspot.com/","OP114",251,"A+"
1729,"Schubert","Piano Quintet in A major","4. Andantino - Allegretto","Piano Quintet","European Archive","http://tirolmusic.blogspot.com/","OP114",444,"A+"
1730,"Schubert","Piano Quintet in A major","5. Allegro giusto","Piano Quintet","European Archive","http://tirolmusic.blogspot.com/","OP114",368,"A+"
1733,"Schubert","Piano Sonata in A major","2. Andantino","Solo Piano","Museopen","Segundo G. Yogore","D959",546,"A+"
1734,"Schubert","Piano Sonata in A major","3. Scherzo. Allegro vivace","Solo Piano","Museopen","Segundo G. Yogore","D959",325,"A+"
1735,"Schubert","Piano Sonata in A major","4. Rondo. Allegretto","Solo Piano","Museopen","Segundo G. Yogore","D959",714,"A+"
1739,"Schubert","Piano Trio in B-flat major","4. Rondo. Allegro vivace","Piano Trio","European Archive","harfesoft.de","OP99",490,"A#+"
1742,"Schubert","String Quintet in C major","2. Adagio","Viola Quintet","European Archive","harfesoft.de","OP163",924,"C+"
1749,"Schubert","Piano Sonata in A minor","1. Moderato","Solo Piano","Museopen","Segundo G. Yogore","D845",696,"A-"
1750,"Schubert","Piano Sonata in A minor","2. Andante poco mosso","Solo Piano","Museopen","Segundo G. Yogore","D845",784,"A-"
1751,"Schubert","Piano Sonata in A minor","3. Scherzo. Allegro vivace - Trio. Un poco piu lento","Solo Piano","Museopen","Segundo G. Yogore","D845",475,"A-"
1752,"Schubert","Piano Sonata in A minor","4. Rondo. Allegro vivace","Solo Piano","Museopen","Segundo G. Yogore","D845",362,"A-"
1755,"Schubert","Piano Sonata in A minor","2. Andante","Solo Piano","Museopen","Segundo G. Yogore","D784",229,"A-"
1756,"Schubert","Piano Sonata in A minor","3. Allegro vivace","Solo Piano","Museopen","Segundo G. Yogore","D784",371,"A-"
1757,"Schubert","Piano Sonata in C minor","1. Allegro","Solo Piano","Museopen","Martin Charles Bucknall","D958",710,"C-"
1758,"Schubert","Piano Sonata in C minor","2. Adagio","Solo Piano","Museopen","Martin Charles Bucknall","D958",468,"C-"
1759,"Schubert","Piano Sonata in C minor","3. Menuetto and Trio","Solo Piano","Museopen","Martin Charles Bucknall","D958",194,"C-"
1760,"Schubert","Piano Sonata in C minor","4. Allegro","Solo Piano","Museopen","Martin Charles Bucknall","D958",655,"C-"
1763,"Schubert","4 Impromptus","1. Impromptu in F minor","Solo Piano","Charlie Albright","Jeruen Espino Dery","OP142",600,"F-"
