key A A# B C C# D D# E F F# G G#
D#+ 5224 21074 4660 13761 4578 13122 21115 3684 17010 4156 16460 11454
B+ 35 151 189 7 185 5 181 135 30 170 12 184
G+ 8935 3877 8157 8357 2987 13779 3121 7211 3748 6254 14166 2243
C+ 6105 2176 6417 9206 1724 7255 2439 7122 5537 2872 9683 2223
G#+ 383 1750 485 1893 1466 533 3199 524 1334 493 1444 2687
A+ 21284 3510 14877 8130 11660 14272 3926 21180 5644 10305 8064 8850
C#+ 514 2044 280 1198 715 980 1678 186 1540 592 1045 1218
F+ 10091 7472 3577 11848 4112 8123 3703 7698 11773 3383 9190 4362
F#+ 106 274 243 86 361 66 213 74 224 392 45 226
E+ 2638 725 4772 764 2644 831 2041 3943 449 2935 814 2649
A#+ 8697 13056 3902 11589 5310 10900 8119 4568 15195 4664 9948 4789
D+ 9322 2480 4644 2837 4823 9260 1445 7384 3098 5150 5062 2308
C- 3635 5694 5597 11642 3421 7214 9019 5227 7728 2422 12432 7159
D#- 492 3008 299 1388 484 1221 2458 200 1660 174 1561 1256
D- 6063 3256 1296 3195 1888 4945 1344 3729 4794 822 3336 1245
A#- 32 115 12 82 88 22 113 10 115 71 18 69
E- 3986 1316 5512 3481 2012 3107 2112 5280 1944 4142 3713 1818
A- 7726 1759 5729 6045 2824 5630 1935 8214 4209 2522 5383 3290
C#- 1222 623 1457 862 3164 350 2256 1854 305 1550 719 4185
G#- 24 170 141 42 171 26 213 122 55 133 53 203
F#- 188 37 184 26 224 91 76 130 57 230 8 197
B- 938 450 1530 132 1199 1112 183 1234 174 1578 761 459
F- 2171 4557 1620 8191 4070 2054 4073 3417 6350 1376 4749 5528
G- 6168 6291 3994 7450 2729 10302 5638 4046 5146 4101 10651 3464
